"fid","CAT_LU","PA","PA_norm","FR.analysis.5_NP","FR.analysis.5_FR","Fragmentation","proximity.analysis.5_PI","Proximity","LC_EVAPO_Evapotranspirating","LC_analysis_ET_score","ET_score_2","SuitKey2","compat_key","unique_compat_Compatibility","Suitability.matrix_2_PLU"
1529,"Farmlands",0.201730145109604,0.00680649239799148,11,1.243,2,0.091674,"High",92.6,58.7948,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
1531,"Farmlands",0.197622284245201,0.00666789078378864,11,1.243,2,0.080718,"High",97.22,56.9126,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
1544,"Farmlands",0.135526870510287,0.00457275541714727,11,1.245,2,0.079878,"High",97.99,64.1116,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
1545,"Woods and shrubs",0.168724137355682,0.00569285050404915,11,1.244,2,0.07775,"High",100,51.6103,"B","Woods and shrubs_B_2_High","Woods and shrubs_Community Supported Agriculture_B","false","Community Supported Agriculture"
1549,"Farmlands",0.0661588709328324,0.0022322387753172,10,1.225,2,0.080163,"High",96.66,61.8624,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
1550,"Woods and shrubs",0.247147345832467,0.00833889515956319,11,1.242,2,0.078303,"High",97.27,66.0148,"C","Woods and shrubs_C_2_High","Woods and shrubs_Wild spaces_C","true","Wild spaces"
1575,"Farmlands",0.549214424103525,0.0185308140263165,26,1.572,3,0.233904,"High",89.65,57.6448,"C","Farmlands_C_3_High","Farmlands_Urban Gardens_C","false","Urban Gardens"
1585,"Farmlands",0.0159186284406635,0.000537103779947999,16,1.363,2,0.06734,"Low",83.54,53.4656,"C","Farmlands_C_2_Low","Farmlands_Wild spaces_C","false","Wild spaces"
1590,"Farmlands",0.0868678998059651,0.00293097345137753,11,1.247,2,0.118171,"High",89.95,58.4884,"C","Farmlands_C_2_High","Farmlands_Wild spaces_C","false","Wild spaces"
1592,"Woods and shrubs",0.949405988127139,0.032033510099762,10,1.195,2,0.105003,"High",99.08,69.327,"C","Woods and shrubs_C_2_High","Woods and shrubs_Wild spaces_C","true","Wild spaces"
1641,"Farmlands",0.180800904509053,0.00610032765019937,24,1.539,3,0.059524,"Low",100,58,"C","Farmlands_C_3_Low","Farmlands_Wild spaces_C","false","Wild spaces"
1647,"Parks and public gardens",0.531786823877244,0.0179427966608852,30,1.664,3,0.248295,"High",69.39,44.4096,"B","Parks and public gardens_B_3_High","Parks and public gardens_Allotment gardens_B","false","Allotment gardens"
1652,"Woods and shrubs",0.209001926503445,0.00705184653061327,9,1.198,2,0.225407,"High",78.78,55.146,"C","Woods and shrubs_C_2_High","Woods and shrubs_Wild spaces_C","true","Wild spaces"
1658,"Collective spaces",1.89630756830349,0.063982520019002,32,1.663,3,0.74161,"High",77.14,50.0968,"B","Collective spaces_B_3_High","Collective spaces_Allotment gardens_B","true","Allotment gardens"
